Generation,Fitness,Variance
14,82.315135,11.310960
15,84.239459,9.928065
16,86.032973,9.267561
17,87.738378,8.503446
18,89.361081,7.845837
19,90.925946,6.489111
20,92.311351,5.704141
21,93.643784,4.639056
22,94.858378,3.948592
23,95.978919,3.201177
24,96.990270,2.417203
25,97.850811,1.680445
26,98.554054,1.128159
27,99.121622,0.751154
28,99.581622,0.397933
29,99.873514,0.122380
30,99.987027,0.012805
31,100.000000,0.000000
1,52.725405,21.301895
2,55.291892,19.175340
3,57.734595,19.518209
4,60.210270,18.319570
5,62.681081,17.445318
6,65.050270,17.083419
7,67.369730,16.261138
8,69.621081,16.713177
9,71.922162,15.623130
10,74.171351,14.947395
11,76.373514,14.013461
12,78.507568,13.351564
13,80.590811,12.732564
14,82.656757,11.572454
15,84.607568,9.865456
16,86.384324,9.302565
17,88.139459,8.108119
18,89.754054,7.211402
19,91.264324,6.156619
20,92.647568,5.454170
21,93.921622,4.506830
22,95.105946,3.788775
23,96.197297,3.005939
24,97.162162,2.317487
25,98.011351,1.579871
26,98.689730,1.066976
27,99.257838,0.655141
28,99.670811,0.307310
29,99.916216,0.076764
30,99.993514,0.006444
31,100.000000,0.000000
