Generation,Fitness,Variance
2,55.245946,17.897889
3,57.624324,15.585895
4,59.878378,13.814938
5,61.987027,13.236588
6,64.073514,12.465947
7,66.085405,10.977571
8,67.943243,10.702184
9,69.770811,10.896662
10,71.625405,10.622382
11,73.494054,10.582938
12,75.319459,9.441189
13,77.029189,9.732121
14,78.756757,8.684617
15,80.397297,8.373506
16,81.969730,8.088813
17,83.574595,7.299571
18,85.069730,6.655138
19,86.511892,6.286615
20,87.915135,5.288474
21,89.182703,5.053106
22,90.451351,4.739525
23,91.690811,4.051429
24,92.844865,3.448906
25,93.878919,2.891285
26,94.843784,2.370732
27,95.678919,1.902312
28,96.449730,1.670176
29,97.170811,1.329743
30,97.797297,1.078371
31,98.357838,0.887087
32,98.864324,0.737808
33,99.322162,0.473509
34,99.665946,0.268948
35,99.900000,0.093243
36,99.987027,0.012805
37,100.000000,0.000000
1,52.994054,20.139965
2,55.571351,18.070855
3,57.968108,15.421145
4,60.194054,14.549911
5,62.311351,15.015493
6,64.497297,13.520263
7,66.587027,12.181886
8,68.575676,11.656165
9,70.484865,11.145987
10,72.375676,10.118868
11,74.158919,9.171502
12,75.862703,9.012501
13,77.523784,8.601867
14,79.190811,7.969537
15,80.765946,7.648462
16,82.350270,7.009203
17,83.855676,6.193765
18,85.248108,5.444929
19,86.536216,4.993553
20,87.758378,4.922700
21,88.988649,4.464195
22,90.161081,4.010810
23,91.272973,3.490351
24,92.303784,3.127175
25,93.282703,2.655755
26,94.181622,2.347554
27,95.027027,2.068459
28,95.816757,1.675071
29,96.537838,1.373974
30,97.168649,1.156422
31,97.760000,1.002941
32,98.310270,0.794543
33,98.779459,0.667038
34,99.214595,0.500436
35,99.581081,0.322345
36,99.858378,0.125889
37,99.982162,0.017520
38,100.000000,0.000000
1,52.815135,18.715014
2,55.251351,16.213039
3,57.514054,15.515748
4,59.718378,13.982851
5,61.831351,12.913179
6,63.857297,11.940717
7,65.798919,10.940107
8,67.647568,10.617413
9,69.471351,10.317287
10,71.244324,9.725170
11,72.976757,10.614054
12,74.810811,10.275559
13,76.629730,9.469927
14,78.355676,8.927549
15,80.022703,7.889214
16,81.632973,7.564210
17,83.212432,7.211629
18,84.737297,6.684501
19,86.182162,6.312222
20,87.597838,5.044752
21,88.868649,4.474098
22,90.037838,4.098028
23,91.180541,3.485243
24,92.223784,3.145596
25,93.208108,2.823178
26,94.122162,2.469401
27,95.004324,2.182684
28,95.830270,2.002543
29,96.607027,1.659086
30,97.327568,1.326213
31,97.943243,1.114076
32,98.507027,0.836978
33,98.992432,0.613997
34,99.406486,0.408823
35,99.725946,0.225975
36,99.926486,0.069190
37,99.993514,0.006444
38,100.000000,0.000000
